,Class,Comment,FNODE_,IsCentroid,Linestring,TNODE_,cross,endChainag,fix_id,geometry,id,length,length_1,mode,name,networkGrp,osm_id,osmid,penalty,road,roadId,startChain,type,width,FromTo,m1_01,m1_02,m2_01,m2_02,m3_01,m3_02,m4_01,m4_02,m5_01,m6_01,m7_01,m7_02,m7_03,m8_01,m8_02,m8_03,m9_01,m10,avrgLane,truckAadt
0,3,,0,0,93,1992,1,,142,"LINESTRING (90.50827323676592 23.59237843308489, 90.5099551 23.5892959, 90.5121472 23.5846752, 90.51453927698215 23.58154866795083, 90.55047295111929 23.56864642901747)",2092,5.85016597,,water,Shitalakshya,0,101999102,12052,0,,,,river,,1992,1.00258377,1.004028197,1.000486632,0.000241864,0.103174603,1.001821107,0,0.097335307,87,1.000124686,0.000324859,42040.91654,46708.60121,0,0.093520457,0,0,0,0,0
1,1,,0,0,1,1881,1,,2,"LINESTRING (90.51456640233127 23.56791358182071, 90.51529361121122 23.56738633774209, 90.52658337570493 23.56439080370456, 90.53074276262366 23.56384615381322, 90.55047295111929 23.56864642901747)",2070,4.169375684,,water,Dhaleshwari,0,0,11919,0,,,,river,0,1881,1.006151171,1.009109312,1.001967462,0.00262353,0.029265873,1.009054508,0,0.035529238,83,1.000958345,0.001903892,273978.472,324608.8381,0,0.036773597,0,0,0,0,0
2,1,,0,0,0,1264,0,,1,"LINESTRING (90.55047295111929 23.56864642901747, 90.58243800004219 23.57256028107882)",0,3.62114962,,water,Treemohini,0,0,10000,0,,,,,0,1264,1.003547542,1.005040323,1.002950584,0.003756911,0.132440476,1.010140411,0,0.126202813,75,1.001602426,0.003422842,246307.3476,461130.7275,0,0.127752898,0,0,0,0,0
3,,,10241,1,,22730,0,0.445,,"LINESTRING (91.3994163 23.0096667, 91.39933797464178 23.00965938930739, 91.39524969999999 23.0092778, 91.3898052 23.0093056)",17309,1,,road,,0,,20451,0,N104,17098,0.445,0,,1024122730,1.004000072,1.001004016,1,1.39E-15,0,1.002887863,0,0,15,1,0,0,0,1171,0,468.4,0,0,2.5,1171
4,,,10241,1,,22733,0,2,,"LINESTRING (91.3898052 23.0093056, 91.3814438 23.0095278, 91.38139918010619 23.0095278)",17310,0.883024577,,road,,0,,20452,0,N104,17100,1.878,0,,1024122733,1.01682829,1.012182741,1,1.39E-15,0.03125,1.005828491,101,0.023316062,14,1,0,0,0,1171,0.013833908,468.4,5.59E-05,0,2.5,1171
5,,,5803,0,,5938,0,20.77,,"LINESTRING (89.23163819999999 23.9871941, 89.2239438 23.9883608, 89.2221938 23.9888886, 89.2121667 23.9889163, 89.2023889 23.9891386, 89.1924719 23.9898052, 89.1831382 23.9922219, 89.1754438 23.9974997, 89.16830490000001 24.0036944, 89.166916 24.0045278, 89.16027779999999 24.0078056, 89.1520833 24.0117778, 89.147083 24.0180549, 89.13716629999999 24.0168049, 89.1371386 24.0168327, 89.13694409999999 24.0168327, 89.12759783771166 24.01740073663417, 89.1177493 24.0179993, 89.10777779999999 24.0177493, 89.098083 24.0180549, 89.088583 24.0194716, 89.08127709999999 24.025416, 89.0774993 24.0304438, 89.075416 24.0328882, 89.0690271 24.0398608, 89.06327779999999 24.0443052, 89.05683329999999 24.0494997, 89.05463890000002 24.0587778, 89.0547222 24.0663889)",5115,22.65,,road,,0,,16031,0,R605,4991,20.77,0,,58035938,1,1,1,1.39E-15,0,1.004238258,0,0.00296077,47,1,0,0,0,309,0.001635943,123.6,0,8.98E-05,2.5,309
6,,,5803,0,,5779,0,11.821,,"LINESTRING (89.41016670000001 23.9361941, 89.40958329999999 23.934583, 89.4028333 23.9379997, 89.3949997 23.9433608, 89.3873052 23.9486941, 89.37933270000001 23.9541944, 89.37111040000001 23.9590833, 89.3618611 23.9603889, 89.3520833 23.9616111, 89.34661080000001 23.9621667, 89.3421108 23.9630833, 89.3321382 23.9635556, 89.3225271 23.9629444, 89.3126944 23.9639444, 89.30475 23.9634167, 89.30277779999999 23.9638333, 89.2934441 23.9683327, 89.28524969999999 23.9693049, 89.27547159999999 23.9691938, 89.26625 23.9718604, 89.25813890000001 23.9764993, 89.25036109999999 23.9821382, 89.2397497 23.9857219, 89.23163819999999 23.9871941)",5087,20,,road,,0,,15999,0,R605,4978,11.821,0,,57795803,1.000035095,1,1,1.39E-15,0,0.991928688,0,0.014433753,60,1,0,0,0,309,0.004487729,123.6,0,0,2.5,309
7,,,5803,0,,1997,1,,,"LINESTRING (89.23163819999999 23.9871941, 89.22197294109908 23.93166948514126)",51456,30.40104992,,road,,0,,12057,15,R713,999991,,1,,19975803,1,1,1,1.39E-15,0,0.985919779,0,0.01665433,40,1,0,0,0,0,0.006123672,0,0,0,2.1,0
8,3,,24580,0,40,1291,0,,121,"LINESTRING (90.39030913762761 21.74869173958875, 90.38725996699324 21.75309702285383)",1454,0.602435731,,water,Galaschipa,0,0,11346,0,,,,river,0,129124580,1,1,1,1.39E-15,0,0,0,0,0,1,0,0,0,0,0.000335121,0,0,0,0,0
9,3,,24580,0,75,1292,0,,48,"LINESTRING (90.39030913762761 21.74869173958875, 90.39247274592552 21.7534662056679)",1866,0.589416513,,water,Meghna,0,0,11347,0,,,,river,0,129224580,1,1,1,1.39E-15,0,0,0,0,0,1,0,0,0,0,0.000335121,0,0,0,0,0
